#Thu May  1 10:46:58 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               11              11               1               0
               0           78.42           39.77
               1          -38.86           36.12
               2          -46.14           37.05
               3          -133.3           22.13
               4          -82.33           12.61
               5          -39.28           18.17
               6          0.5621           29.13
               7           32.23           15.67
               8          -53.01           9.892
               9          -15.37           23.85
              10          -2.473           16.52
              11           17.99           14.23
              12          -43.31           12.01
              13          -4.189           30.67
              14           24.14           16.74
              15           42.76           12.53
              16          -33.29           14.36
              17           -36.5           12.67
              18          -17.22            43.5
              19           23.05           11.85
              20          -41.92           12.59
              21           -36.9           17.03
              22           -5.16           19.15
              23           20.63           9.119
              24          -47.43           10.74
              25          -14.18           24.46
              26           -3.41           15.49
              27           34.05            9.96
              28          -41.55           11.38
              29          -14.84           39.65
              30           1.707           12.79
              31           61.09           10.68
              32          -26.23           14.27
              33           -20.3           18.22
              34           14.44           21.24
              35            45.8           18.44
              36          -46.25            10.9
              37          -6.182           22.13
              38           21.29           19.89
              39           50.08            13.9
              40          -44.41           10.44
              41          -3.747           25.07
              42           29.74           19.91
              43           51.08           14.59
              44          -39.95           18.88
              45           12.54           32.51
              46           24.22           13.46
              47           54.29           13.32
              48          -25.63           17.28
              49           -40.4           14.46
              50          -6.769           33.36
              51           23.79           11.28
              52          -46.57           11.89
              53          -7.518           19.76
              54           6.537           17.81
              55           44.05           8.992
              56          -38.03           11.13
              57          -17.22           29.94
              58           3.083           14.58
              59           48.68           9.941
              60          -42.31           11.91
              61           -16.5           54.43
              62           5.418           12.38
              63           85.18           11.39
              64          -44.17           14.87
              65          -17.36           9.496
              66           36.21           32.58
              67           26.97           20.75
              68          -54.23           11.56
              69          -4.317           10.15
              70            9.04           23.65
              71           23.44           14.03
              72          -21.34           9.209
              73          -2.682           8.988
              74           16.86           19.48
              75           44.28           14.67
              76          -22.26           10.18
              77          -2.524           8.798
              78           24.02           16.75
              79           79.42           15.82
              80          -51.85           18.39
              81          -36.67            8.59
