#Fri May  9 11:06:35 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               11              11               1               0
               0           94.48           38.52
               1          -30.13           33.91
               2          -61.35           34.08
               3          -143.4           18.47
               4          -65.34           10.91
               5          -40.84           12.88
               6           -15.9           23.02
               7            29.6           13.05
               8           -37.9           8.448
               9          -25.95           15.28
              10          -17.18           13.57
              11           22.69           11.75
              12          -30.66           9.629
              13           -18.8           20.19
              14            10.3           13.75
              15              53           10.34
              16          -20.45           13.31
              17          -35.92           9.115
              18           -21.3           39.13
              19           15.88           10.41
              20          -29.07           11.84
              21          -44.39           11.58
              22          -17.52           17.14
              23           19.76            8.39
              24           -37.9           10.09
              25          -27.44           16.22
              26          -16.39           13.65
              27           39.04            8.37
              28          -34.96           9.094
              29          -32.08           26.91
              30          -9.304           11.07
              31           72.49           9.005
              32          -10.23           12.93
              33          -16.21           12.93
              34          0.3241           16.97
              35           39.32           14.72
              36          -29.82           9.597
              37          -12.23           14.88
              38           4.136           16.43
              39           50.77           11.59
              40          -28.83           9.025
              41          -15.78           16.16
              42           14.21           16.27
              43           58.47           11.41
              44          -30.36           14.08
              45          -9.828           20.53
              46           13.65           11.27
              47           68.31           10.37
              48          -13.29           16.18
              49          -42.66           9.647
              50          -14.08           30.12
              51           19.33           9.857
              52          -34.12           11.36
              53          -18.89           13.19
              54          -5.976            16.1
              55           46.49           8.217
              56          -30.65           9.657
              57          -32.54           20.34
              58          -9.529           12.79
              59           56.96           8.434
              60          -38.66           9.084
              61          -36.56           33.69
              62          -3.717           10.61
              63           99.68           9.449
              64          -28.85            11.8
              65          -16.07            8.73
              66           25.96           26.17
              67           27.96           16.63
              68          -43.55           9.577
              69          -10.06           10.28
              70           1.263           19.27
              71           31.16           11.75
              72          -16.17           8.534
              73          -7.758           9.237
              74           12.02           15.84
              75           56.92            11.2
              76          -18.88            9.96
              77          -8.296           9.507
              78            22.4           13.39
              79           94.92           11.47
              80          -39.69           15.89
              81           -42.8           7.941
              82           1.448            22.2
              83           17.94           8.137
              84          -47.32           12.27
              85          -27.37           7.668
              86           5.309           12.42
              87           35.72           7.759
              88          -50.62           9.767
              89          0.8621           11.78
              90           18.59           9.893
              91           65.32           8.758
              92          -22.42           8.356
              93          -29.99           19.32
              94           17.06           8.657
              95           95.32           10.12
              96          -5.297           10.36
              97           -31.8           10.57
              98           13.71           22.07
              99           16.14            15.5
             100          -32.27           9.465
             101          -16.04           11.34
             102           11.59           16.17
             103           54.82           11.37
             104          -39.07           8.972
             105          -16.85           9.358
             106           3.303           15.35
             107           62.62            11.5
             108          0.5267           9.536
             109           13.45           9.203
             110           44.84           16.02
             111           120.4           11.61
             112          -19.26           15.52
             113          -27.12            7.64
             114          -9.332           19.35
             115            5.17            8.15
             116          -31.74           11.19
             117          -26.27           7.856
             118           18.26           11.62
             119           51.66           7.754
             120           -37.1           8.818
             121          -14.71           11.88
             122           14.22           9.211
             123           56.01           9.088
             124          -34.14           8.116
             125          -9.498           27.08
             126           38.37           9.025
             127           124.9           11.04
APV               11              11               1               1
               0           80.15           39.34
               1          -54.62           33.71
               2          -41.62           32.29
               3          -139.7           14.14
               4          -80.24           11.45
               5          -55.53            9.67
               6          -24.22           14.85
               7           32.84           10.21
               8           -57.2           9.086
               9          -28.63           10.38
              10           7.226           10.11
              11           48.12            9.73
              12          -60.88           9.576
              13          -31.41            11.4
              14           22.91           9.822
              15           72.74            9.85
              16           -9.11           21.81
              17          -42.08           8.712
              18          -26.24            27.1
              19           4.332           10.16
              20          -38.33           11.84
              21          -50.11           8.837
              22          -10.61           13.96
              23            45.4           8.984
              24          -54.43           10.16
              25          -25.28           9.671
              26           19.72           11.82
              27           66.06            8.73
              28          -51.99           8.977
              29          -30.35           13.81
              30           19.28           10.72
              31           62.23           9.278
              32          -7.122           14.62
              33          -25.28           9.517
              34          -21.06           10.44
              35           21.82           10.49
              36          -33.24           10.69
              37          -25.83           10.22
              38           3.491           10.58
              39           45.82           9.695
              40          -38.69           9.614
              41          -42.43            9.89
              42           21.14           11.33
              43           69.88           9.768
              44          -57.11           10.36
              45          -3.053           9.874
              46           16.74           8.982
              47           74.98            10.2
              48          -16.74           20.82
              49          -31.17           8.656
              50          -0.063           21.42
              51           13.25           9.781
              52          -40.78           11.61
              53          -38.59            8.94
              54           6.129           13.09
              55            39.1           8.874
              56          -56.56           9.822
              57          -20.25            10.8
              58          0.8363           11.53
              59           71.21           8.673
              60          -38.96           8.719
              61          -35.67           16.76
              62           21.66           10.21
              63            75.7           9.975
              64          -21.74           18.21
              65          -18.76            7.84
              66           10.16           16.95
              67            47.1           11.56
              68          -28.24           11.08
              69          -20.92            7.94
              70           25.87           13.68
              71           62.69           9.642
              72          -38.27           9.534
              73           3.079           7.919
              74           9.441           11.38
              75           69.52           9.769
              76          -26.13           8.309
              77          -41.74           8.465
              78           39.26           10.21
              79           86.11           10.52
              80          -33.78            13.6
              81           -24.8           8.721
              82          -7.644           15.13
              83           37.24           8.074
              84          -45.67           13.02
              85          -14.95            7.79
              86          0.4959           9.717
              87           25.06           7.893
              88          -67.41           10.37
              89           -20.2            8.99
              90          -5.002           8.785
              91           68.58           8.761
              92          -30.54           8.861
              93           -14.6           13.27
              94           22.39           8.342
              95           110.5           10.17
              96          -6.071           16.58
              97          -30.57           8.311
              98           13.11           14.98
              99           36.93           11.19
             100          -59.28            11.3
             101          -18.25           8.611
             102           20.88              12
             103           46.12           9.367
             104          -47.78            8.99
             105           -5.61           8.882
             106              32           11.14
             107           73.32           10.06
             108          -24.47           8.105
             109           10.74           8.683
             110           41.92           11.46
             111           116.1           11.11
             112          -2.643           15.36
             113          -24.45           8.223
             114           5.207           13.42
             115           29.77           8.306
             116          -54.06            11.7
             117          -25.16           7.577
             118          -14.69           9.326
             119           51.26           8.028
             120          -36.45           9.769
             121          -12.63           9.167
             122           29.96           8.458
             123           70.47           8.959
             124          -29.83           8.556
             125          -38.93           17.55
             126           40.42           8.576
             127           138.2           11.13
APV               11              11               1               2
               0             120           37.87
               1          -29.08            33.1
               2          -51.09           33.93
               3          -159.3           18.65
               4          -48.79              11
               5          -35.67           11.35
               6          -8.263            22.8
               7           10.02           12.77
               8          -24.77            8.69
               9          -14.96           12.64
              10          -7.394            13.2
              11           18.04           11.09
              12          -14.79           9.695
              13          -28.48           13.43
              14           2.149           13.45
              15           34.86            10.3
              16           23.87           13.33
              17           -27.5           8.618
              18         -0.7794           37.21
              19           1.243           10.33
              20          -19.57           11.79
              21          -19.81           9.618
              22           -4.83           16.99
              23          -12.39           8.322
              24          -22.29             9.9
              25          -17.35           11.04
              26          -2.664           13.63
              27           30.77            8.15
              28          -23.44           8.933
              29          -14.23           16.57
              30           -15.7            11.3
              31           48.31           8.703
              32            21.6           13.17
              33          0.7283           11.86
              34          -1.806           15.75
              35           3.127           14.88
              36          -4.508           9.861
              37          -12.42           12.67
              38          -14.64           15.25
              39           9.257           11.41
              40          -10.26           9.144
              41           3.129           11.08
              42           5.709           15.87
              43           23.24           11.07
              44          -32.12           13.88
              45          -3.203           10.76
              46           -17.6           11.42
              47           37.64           10.27
              48           10.92           15.48
              49          -22.98           8.729
              50          -5.024           28.81
              51           2.395           9.665
              52          -18.47            11.1
              53          -37.63           9.866
              54          -4.692           16.12
              55           6.324           8.183
              56          -13.53           9.428
              57          -31.68           13.17
              58           11.13           12.74
              59              36           8.199
              60           -12.6           8.774
              61          -14.14           20.36
              62           6.195           10.53
              63           37.47           9.028
              64           15.21           12.11
              65             -16           8.514
              66           14.05           27.23
              67           1.636           16.33
              68          -12.27            9.88
              69           7.206           10.19
              70          -6.578           20.11
              71           7.028           12.14
              72          -4.181           8.651
              73           5.883           9.255
              74           12.31           15.58
              75           25.18           11.29
              76          -21.76           9.949
              77          -5.376           9.572
              78          -1.112           13.35
              79           62.09           11.69
              80           11.06           15.36
              81          -4.253           8.309
              82           8.714            21.2
              83          -16.43           8.124
              84          -1.384           12.32
              85          -15.98           7.991
              86           10.36           12.34
              87           18.44           7.626
              88          -24.05           9.556
              89          -16.72           11.84
              90           -10.2           10.29
              91           43.92           8.766
              92           13.16           8.301
              93          -2.518           18.52
              94           2.084           8.871
              95           74.28           10.51
              96          -3.254           10.63
              97          -27.49           10.37
              98           12.78           23.12
              99          -6.471           15.06
             100         -0.9543           9.664
             101          -13.12           11.33
             102           1.118           16.75
             103           13.27           11.53
             104          -20.24           9.248
             105             -12           8.219
             106           4.453           14.67
             107           41.23           11.23
             108          -11.58           9.672
             109           18.46           8.575
             110          -5.473           16.27
             111           87.21           11.89
             112          -1.174           14.75
             113          -9.997           7.868
             114          -8.118              19
             115          -9.031           8.251
             116          -10.52           10.61
             117         -0.3509           8.247
             118           8.041           11.42
             119           21.97           7.758
             120          -17.61           8.539
             121           3.898            11.6
             122         -0.7202           9.454
             123           42.39           9.206
             124          -7.059           7.995
             125          -10.39           25.87
             126          -4.059            8.94
             127           107.9           11.17
APV               11              11               1               3
               0           6.444           35.45
               1          -35.84           30.76
               2          -14.41           31.34
               3          -102.7           18.62
               4          -136.7           10.47
               5          -14.85           12.02
               6            1.48           21.94
               7           46.38           13.22
               8          -84.51           8.488
               9          -21.97           12.92
              10           25.28           13.26
              11           63.69           12.46
              12          -58.79            9.89
              13          -14.69           13.46
              14           31.77           13.89
              15           76.03           11.29
              16          -99.37           12.62
              17          -32.83           8.321
              18           10.08           39.01
              19           25.38           10.48
              20          -104.7           11.26
              21          -21.12           9.638
              22           19.73           18.61
              23           55.78           8.286
              24          -75.35           9.666
              25          -25.46           11.17
              26           11.69           14.19
              27           57.84           8.332
              28             -47           8.794
              29          -11.87           17.83
              30           41.99           11.19
              31            68.9            9.29
              32          -100.5           12.49
              33          -16.34           12.72
              34           7.645           15.75
              35           55.52           15.26
              36           -95.2           9.282
              37          -30.32           13.57
              38           24.06           14.69
              39           46.64           11.76
              40          -71.35           8.844
              41           2.384           11.39
              42           28.98            15.8
              43           77.77           12.56
              44          -51.35           14.68
              45           5.671           9.342
              46           35.32           11.65
              47           71.53           11.68
              48          -111.1           15.22
              49          -28.35           8.555
              50          -9.655           30.83
              51           32.78           9.658
              52          -109.6            10.9
              53          -26.58           10.03
              54           7.362           17.44
              55           72.17           8.103
              56          -50.36           9.315
              57          -7.565           13.51
              58           23.29           13.13
              59           76.57           8.837
              60          -27.58           8.538
              61          -16.15           21.96
              62           23.87           10.59
              63           73.83           9.923
              64          -101.2           11.63
              65          -16.12           9.037
              66            36.5           25.98
              67           40.62           17.53
              68          -83.38           9.279
              69          -20.11           10.93
              70           31.43           19.78
              71           59.67              13
              72          -71.53           8.413
              73          -4.335           9.627
              74           49.06           15.98
              75           65.11           12.58
              76          -25.33           10.44
              77           5.774           9.259
              78           36.38           13.79
              79           86.12           12.13
              80            -105           15.02
              81           -4.68           8.181
              82           16.11           23.41
              83           37.76           8.002
              84          -94.41            11.9
              85          -20.58           7.945
              86            20.2           13.02
              87           79.69           7.965
              88          -72.62           9.129
              89          -3.415            12.2
              90           39.91           10.53
              91           55.67           9.283
              92          -18.02           8.509
              93           2.064           20.93
              94           53.12           8.795
              95           101.9           10.64
              96          -122.4           10.02
              97          -14.29           10.99
              98           32.04           22.13
              99           43.04           16.98
             100           -84.7            8.94
             101          -25.86           12.16
             102           4.797           16.12
             103           59.75           12.43
             104          -49.24           9.471
             105           12.92           8.903
             106            47.8           15.28
             107            63.1           12.73
             108          -44.39           9.939
             109            25.3           8.454
             110           42.01           16.73
             111           112.3            12.5
             112          -106.4           14.49
             113          -23.97           7.734
             114          -7.212           20.13
             115           48.33           7.958
             116          -61.45            10.6
             117          -20.42           8.304
             118            30.3           12.31
             119           66.84           7.814
             120          -39.17           8.543
             121          -1.814           12.37
             122           39.77           9.801
             123           53.58           9.726
             124          -14.61           7.917
             125           14.95           29.39
             126           48.57           8.969
             127           141.3            11.9
APV               11              11               1               4
               0           60.55           32.43
               1          -63.21           25.71
               2          -34.88            27.2
               3          -45.04           20.03
               4          -139.3           11.64
               5          -84.92            11.1
               6            7.17           23.38
               7           86.98           13.59
               8          -96.97           8.715
               9          -76.71            12.5
              10           26.67           13.82
              11           98.33           12.29
              12          -91.69           9.576
              13           -40.3            13.1
              14           47.85           13.98
              15           97.75           11.23
              16          -81.88           13.35
              17          -63.05           8.828
              18          -37.32           34.96
              19           58.56           10.92
              20          -91.14           12.16
              21          -69.64            9.72
              22           4.948           17.68
              23           90.02           8.421
              24          -94.71            10.1
              25          -66.99           10.72
              26           26.63           13.65
              27           98.64            8.51
              28          -70.45           9.161
              29          -37.85           16.77
              30           47.13            11.4
              31           115.9           9.182
              32          -80.82           13.58
              33          -67.13           11.51
              34          -12.53           15.37
              35           62.11           15.66
              36          -88.74           10.32
              37          -58.14           12.66
              38            20.3           15.88
              39           96.22           11.83
              40          -77.36           9.216
              41          -52.06           10.42
              42           40.12           16.66
              43           96.87           12.08
              44          -55.85           13.46
              45          -12.69           10.38
              46           44.62           11.72
              47           125.9           11.19
              48          -89.04           15.83
              49          -66.29           8.862
              50          -11.13           28.36
              51           74.14           9.997
              52          -98.53           11.43
              53          -62.65           10.03
              54          -2.445           16.45
              55           90.76           8.316
              56          -80.11           9.815
              57          -44.43            12.9
              58           39.11           12.94
              59           86.92           8.578
              60          -79.36           8.844
              61          -25.67           21.59
              62            57.5           10.98
