#Tue May 27 11:16:55 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               11              11               1               0
               0            88.5           38.36
               1          -32.08              34
               2          -61.43           34.39
               3          -143.7           18.74
               4          -70.74           11.07
               5          -41.99           13.24
               6          -19.19           23.52
               7           29.27           13.28
               8          -42.36           8.521
               9          -22.74              16
              10          -18.14           13.86
              11           22.65           11.84
              12          -34.53           9.796
              13          -14.65           21.15
              14           8.974           14.06
              15           53.67           10.45
              16          -25.41           13.43
              17          -39.13           9.334
              18          -16.56           38.26
              19           17.08           10.39
              20          -34.84           11.98
              21          -44.84           11.92
              22          -16.43           17.17
              23           20.91           8.413
              24          -43.26           10.11
              25          -24.59           16.94
              26          -14.57           13.55
              27           40.02           8.474
              28          -39.51           9.311
              29          -27.33           28.21
              30          -8.183           11.02
              31           73.13           8.982
              32          -15.51           13.23
              33          -18.01           13.15
              34          -1.802            17.5
              35           38.68           15.07
              36          -34.47           9.954
              37          -11.34           15.43
              38           1.778           16.67
              39           50.49           11.69
              40          -34.71           9.166
              41          -13.16           16.69
              42           12.29            16.5
              43           58.26           11.62
              44          -31.65           14.28
              45          -5.412           21.12
              46           13.08           11.47
              47           68.71           10.63
              48          -18.31           16.48
              49          -45.02           9.883
              50          -10.71           30.35
              51           21.16           9.883
              52          -40.33           11.53
              53          -17.64           13.62
              54          -4.539           16.15
              55           47.46            8.23
              56          -35.66           9.736
              57          -28.79           21.54
              58          -7.982           12.79
              59            57.8           8.527
              60           -41.8           9.302
              61          -29.82           35.45
              62          -2.536           10.67
              63           100.5           9.615
              64          -33.84           12.07
              65          -14.63           8.452
              66           25.23           26.38
              67           26.84           16.93
              68          -46.25           9.968
              69          -7.533           9.892
              70           0.704           19.61
              71            30.3           12.01
              72          -17.31           8.598
              73          -5.066           9.071
              74           11.18           15.95
              75           56.34           11.44
              76          -17.77           9.638
              77          -4.245           9.282
              78           22.01           13.58
              79           95.25           11.75
              80          -44.11           16.08
              81          -42.19           8.066
              82           6.083            22.7
              83           19.36            8.12
              84          -50.38           12.57
              85          -25.06           7.624
              86           7.961            12.7
              87           36.69           7.753
              88          -52.09           9.884
              89           4.544           11.81
              90           20.17           9.974
              91           65.15           8.995
              92          -21.97           8.673
              93          -24.21            19.6
              94           18.39           8.853
              95           95.64           10.32
              96          -8.508           10.71
              97          -28.91           10.29
              98           12.82           22.39
              99           15.42           15.78
             100          -34.27           9.725
             101          -13.04           11.08
             102           11.24           16.58
             103           53.97           11.54
             104          -38.69           8.739
             105           -14.7           9.583
             106           2.972           15.66
             107           62.27           11.63
             108           1.962           9.242
             109           17.32           9.229
             110           43.86           16.35
             111           120.7           11.99
             112          -22.76           15.85
             113          -25.79           7.659
             114          -5.127           19.85
             115           6.364           8.254
             116          -34.39            11.4
             117          -23.45           7.697
             118           20.73           11.78
             119           52.63           7.871
             120          -37.71            9.02
             121          -10.64            11.9
             122            15.6           9.284
             123           56.49           9.285
             124          -33.96           8.223
             125           -2.65           27.65
             126           39.83           9.116
             127           125.8           11.27
APV               11              11               1               1
               0           78.63           39.08
               1          -51.67           33.82
               2          -42.15           32.51
               3          -142.1           14.86
               4          -79.99            11.5
               5          -52.89           10.15
               6          -27.04           16.07
               7           30.74           10.59
               8          -54.88           9.031
               9           -26.4           11.05
              10           5.051           10.49
              11           45.42           10.04
              12          -58.37           9.563
              13          -29.05           12.12
              14           19.69           10.29
              15            70.9           10.08
              16          -9.967           21.45
              17          -39.56           8.692
              18          -23.69           28.77
              19           3.353           10.25
              20          -38.19           11.89
              21          -47.54           9.155
              22          -11.06           14.27
              23           43.78           8.848
              24          -53.02           10.19
              25          -23.16           10.22
              26           18.73           11.94
              27           64.12           8.752
              28          -50.16           9.084
              29          -27.84              15
              30            18.3           10.75
              31           61.05           9.325
              32          -7.794           14.52
              33          -22.03           10.07
              34          -23.18           11.28
              35           19.88           11.18
              36          -32.24           10.62
              37          -23.51           10.97
              38           1.351           11.24
              39           43.69           9.879
              40          -37.45           9.575
              41          -39.74           10.37
              42           18.02           12.09
              43           66.94           10.06
              44          -53.58           10.98
              45           -2.37           10.12
              46           14.17           9.291
              47           74.13           10.38
              48          -17.45           20.75
              49          -28.51           8.765
              50           1.349           22.51
              51           13.13           9.725
              52          -39.63           11.53
              53          -36.08           9.429
              54           5.722           13.33
              55           37.59           8.792
              56          -54.69           9.772
              57          -18.02           11.59
              58        -0.06793           11.65
              59           69.45           8.739
              60          -36.83            8.74
              61          -33.92           18.38
              62            20.5           10.17
              63            74.5           10.04
              64          -22.25           18.69
              65          -16.34           7.814
              66           8.287           18.11
              67           43.64           12.42
              68          -27.38           10.99
              69          -18.61           8.157
              70           23.41           14.54
              71           59.55           10.05
              72          -35.76           9.444
              73           3.873           7.954
              74           6.927           12.08
              75           66.95           10.12
              76          -23.11           8.378
              77           -40.8           8.533
              78           36.53           10.76
              79           84.57           10.86
              80             -34           14.25
              81          -22.25            8.82
              82            -6.5           16.41
              83           35.49           8.214
              84          -45.03           12.82
              85          -13.19           7.838
              86        -0.02667            10.1
              87           23.41           7.938
              88          -64.87           10.28
              89          -18.41           9.424
              90          -5.987           9.076
              91           66.75            8.98
              92          -28.23           8.944
              93          -12.78           14.18
              94           20.82            8.51
              95           109.5           10.37
              96          -6.519           17.31
              97          -27.68           8.465
              98           10.94           16.03
              99            34.1           11.62
             100          -57.66           11.16
             101          -16.36           8.911
             102           17.64           12.69
             103            43.2           9.728
             104          -44.94           8.821
             105          -4.912           8.943
             106           29.05           11.71
             107           71.07           10.39
             108          -21.43           8.113
             109           11.13           8.642
             110           39.48           12.19
             111           114.9           11.44
             112          -3.472           15.59
             113          -22.48           8.217
             114            5.68           14.52
             115           27.97           8.354
             116           -52.3           11.42
             117          -23.39           7.569
             118          -15.14           9.699
             119           49.46            7.97
             120           -34.4           9.707
             121          -11.03           9.595
             122           28.87           8.643
             123           68.84           9.049
             124          -27.67           8.589
             125          -36.43           18.88
             126           38.88           8.789
             127           136.7           11.26
APV               11              11               1               2
               0           119.8           37.92
               1          -27.18           33.23
               2          -53.11           34.47
               3            -161           19.56
               4          -48.63           11.06
               5          -33.82           11.98
               6          -12.22              24
               7            8.91            13.4
               8           -22.8           8.667
               9          -14.14            13.4
              10          -9.359           13.87
              11           16.95            11.6
              12          -12.35           9.785
              13          -26.96           14.44
              14          0.0062           14.31
              15           33.51            10.6
              16           23.36           13.63
              17          -26.53           8.576
              18       -0.005486           37.89
              19           1.048           10.55
              20          -18.93            11.9
              21           -19.2           9.897
              22          -6.046           17.57
              23          -12.65           8.384
              24          -20.67           9.844
              25           -16.6            11.7
              26          -3.653           14.03
              27           30.14           8.164
              28           -22.8           9.098
              29          -12.92           17.83
              30          -15.81           11.58
              31           48.03            8.87
              32           21.29           13.34
              33           2.814           12.49
              34          -5.446           16.75
              35           2.331           15.81
              36          -3.443           9.982
              37          -10.73            13.4
              38          -17.51           15.98
              39           7.839           11.81
              40          -8.853            9.29
              41           4.151           11.57
              42           3.399           16.75
              43           22.27           11.55
