#Thu Jun 26 11:56:39 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               11              11               1               0
               0           83.49           37.77
               1          -33.05            33.7
               2          -55.95           34.02
               3          -140.5           17.88
               4          -73.13            10.6
               5          -41.84           12.69
               6          -12.83           22.32
               7           30.42           12.61
               8          -43.29           8.262
               9          -21.75           15.48
              10          -13.74           13.19
              11           21.92           11.16
              12          -35.63           9.558
              13          -13.03           20.07
              14           12.79            13.3
              15           50.92           10.01
              16          -26.16           12.49
              17          -37.31           8.637
              18          -15.31           35.83
              19           18.62           9.799
              20          -35.72           11.17
              21          -42.96           11.05
              22          -12.76           15.35
              23           21.07            8.19
              24          -42.49           9.466
              25          -22.38           15.73
              26          -11.64           12.45
              27            38.7           8.244
              28          -38.52           8.589
              29          -25.06           26.91
              30           -5.51           10.32
              31           70.62           8.813
              32          -17.48            12.3
              33           -18.8           12.67
              34           4.745           16.68
              35            40.7           14.18
              36          -36.61           9.431
              37          -11.32           14.81
              38           7.636              16
              39           50.44           11.22
              40          -36.52             8.9
              41          -11.63           15.72
              42           16.77           15.71
              43           56.46           11.08
              44          -32.85           13.83
              45          -2.203           19.37
              46           15.71           10.83
              47           65.23           10.12
              48           -18.7           15.22
              49          -43.67           9.239
              50          -8.845            27.1
              51           21.91           9.332
              52          -40.28           10.72
              53          -15.76           12.62
              54          -1.132           14.57
              55           46.64           8.072
              56          -34.65           9.075
              57          -26.79           19.99
              58          -5.238           11.66
              59           55.43           8.241
              60          -40.66           8.579
              61          -28.37              34
              62         -0.6792           10.06
              63            96.4           9.355
              64          -36.84           11.26
              65          -17.77           8.152
              66           26.77           25.02
              67           28.52           15.97
              68          -48.38           9.495
              69          -8.946           9.382
              70           3.025           18.57
              71           29.34           11.32
              72          -19.04           8.563
              73          -6.485           8.649
              74           12.98           15.21
              75           54.16           10.93
              76          -20.45           9.346
              77          -5.689           8.868
              78           23.71           12.81
              79           91.61           11.16
              80          -45.72           14.95
              81          -42.22            7.97
              82           4.385           20.67
              83           19.61           7.976
              84           -51.7           11.84
              85          -25.05           7.521
              86           8.294           11.61
              87            35.8           7.614
              88          -52.15           9.615
              89           3.567           10.93
              90           20.78           9.488
              91           63.23           8.668
              92          -22.55           8.455
              93           -26.2           17.64
              94           18.64           8.454
              95           92.54           9.969
              96          -10.42           10.27
              97          -30.74           9.639
              98           14.59           21.12
              99           16.56           14.85
             100           -36.9           9.472
             101          -14.61           10.28
             102           13.13            15.6
             103           53.22            10.9
             104           -40.2           8.563
             105          -13.96           9.221
             106           4.562           14.69
             107           59.64           10.93
             108         -0.4635           8.864
             109           16.41           8.848
             110           45.29           15.41
             111           116.4           11.43
             112          -24.18            14.9
             113             -26            7.59
             114          -6.422           18.11
             115           6.002           8.185
             116          -34.93           10.94
             117          -23.62           7.494
             118           20.63           11.06
             119           50.93           7.751
             120          -37.74           8.801
             121          -11.15           10.95
             122           16.48           8.896
             123           54.23           8.998
             124          -33.95           8.099
             125          -5.733           24.87
             126           40.51           8.896
             127           121.1           10.71
APV               11              11               1               1
               0           75.15           38.55
               1          -49.52           33.68
               2          -38.53           32.12
               3          -140.1           14.19
               4           -80.7           11.15
