#Sun Mar 23 12:08:44 2025
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               11              11               1               0
               0           79.22           36.79
               1          -31.89              33
               2           -43.8           32.52
               3          -129.4           16.54
               4          -75.87           10.06
               5          -37.06           12.37
               6          -3.809           19.86
               7           30.61           11.51
               8           -45.1           8.253
               9          -15.88           14.59
              10          -6.072           11.75
              11            17.2           10.65
              12          -37.55           9.505
              13          -6.342           18.68
              14           19.77           11.97
              15           41.48           9.607
              16          -26.54           11.36
              17          -35.42           8.459
              18          -11.58            30.1
              19           21.91           9.257
              20          -37.81           10.05
              21          -36.67           10.73
              22          -6.281            13.5
              23           19.23           8.027
              24          -43.49           8.596
              25          -15.31           14.47
              26          -5.129            11.3
              27            32.6            8.19
              28          -38.92           8.213
              29          -16.21           23.98
              30          -0.238           9.743
              31           60.42           8.592
              32          -19.99           11.09
              33          -18.29            12.1
              34           12.81           14.79
              35           43.08           12.88
              36           -39.5            8.88
              37           -5.62           14.16
              38           16.21           14.01
              39           47.47           10.35
              40          -39.71           8.742
              41            -7.1           14.99
              42           24.96           13.96
              43           48.59            10.5
              44          -33.56           12.93
              45           8.577           18.12
              46           21.35           10.11
              47           51.09           9.775
              48          -19.54           13.17
              49          -39.85           9.148
              50          -3.656           22.81
              51           23.48           8.735
              52          -41.68            9.53
              53          -8.116           11.86
              54           5.744           12.85
              55           42.56           7.786
              56           -33.9           8.452
              57          -19.24            18.1
              58          0.8841           10.86
              59           47.56           8.232
              60          -40.37           8.205
              61          -16.37           32.74
              62           3.971           9.477
              63           81.83           9.038
              64          -39.38           10.49
              65          -16.09           7.843
              66           28.91           22.41
              67           23.65           14.56
              68          -48.88           9.156
              69          -5.032           8.346
              70           3.659           16.59
              71           21.48           10.63
              72          -16.21           8.325
              73          -5.157           7.737
              74           12.08           13.82
              75            41.7           10.65
              76          -18.68           8.759
              77          -3.721           7.648
              78           20.52           11.91
              79           77.08              11
              80          -47.04           13.19
              81          -35.88           7.928
              82           3.932           17.48
              83           14.04           7.761
              84          -50.56           10.69
              85          -19.44           7.446
              86           6.711           10.48
              87           25.92           7.507
              88          -47.17           9.059
              89           8.012           9.595
              90           18.54            8.79
              91           50.39           8.732
              92          -17.66           8.191
              93          -25.09           14.73
              94           14.53           8.035
              95           77.28           9.951
              96           -10.6           9.641
              97          -26.31           8.692
              98           16.63           19.26
              99           10.84           13.62
             100          -36.09           9.085
             101          -11.22           8.933
             102           12.77           14.14
             103           42.61           10.31
             104          -36.54            8.33
             105          -10.94           8.562
             106           2.206           13.71
             107           46.68           10.86
             108           2.555           8.336
             109           17.13           8.286
             110            41.5           13.95
             111           101.4           11.24
             112          -23.71           13.09
             113          -19.36           7.594
             114          -7.216           15.59
             115          -1.453           7.871
             116           -32.1             9.9
             117          -18.86           7.337
             118           19.79           9.802
             119           40.43           7.528
             120          -32.02           8.485
             121          -7.778           9.638
             122           12.61           8.446
             123           41.59           9.082
             124          -28.77           7.921
             125          -6.234           20.44
             126            34.3           8.257
             127           104.2           10.52
APV               11              11               1               1
               0           73.17            37.6
               1          -46.68           32.75
               2          -28.51           31.01
               3          -130.4           13.09
               4          -80.78           10.71
               5          -49.77           9.715
               6           -17.2           12.91
               7           29.31            9.32
               8          -53.02           8.666
               9          -23.09           10.25
              10           13.13           8.838
              11            38.8           9.005
              12          -57.05           9.302
              13           -26.4           11.51
              14           26.36           8.835
              15           59.61           9.486
              16          -9.311           19.73
              17          -35.57           8.142
              18          -16.39           21.95
              19           6.955           9.445
              20          -37.95            10.6
              21          -42.82           8.875
              22          -1.861           11.97
              23            41.7           8.503
              24          -49.32           9.141
              25          -17.91           9.655
              26           26.73           10.48
              27              56           8.568
              28          -46.43           8.244
              29           -25.5           13.36
              30              24           9.887
              31           48.47           9.019
              32          -9.082           12.85
              33          -19.14           9.316
              34          -13.08           9.395
              35            21.8           9.574
              36          -31.81           9.852
              37          -20.52           10.26
              38            10.3           9.402
              39           39.01           8.884
              40          -37.49           9.179
              41          -37.83           9.897
              42           26.06           10.08
              43           56.59            9.36
              44          -51.14           10.07
              45          0.7628           10.29
              46           19.05           8.105
              47           58.22           9.788
              48          -16.66           19.46
              49           -23.8           8.204
              50           9.592           17.36
              51           14.39           8.955
              52           -37.6           10.24
              53          -31.21           9.076
              54           14.52           11.22
              55           32.24           8.343
              56          -50.36           8.957
              57          -13.15           10.62
              58           6.996           10.21
              59           59.54           8.431
              60          -32.42           8.141
              61          -30.28           16.16
              62           24.68           9.265
              63           59.24           9.668
              64           -22.8           22.44
              65          -15.05            7.65
              66           9.471           15.12
              67           39.83           10.78
              68          -27.76           10.13
              69           -15.9           7.645
